cpf;Nome;Email;Celular1;Celular2
7137480446;Carlos Silva;carlos.silva68@empresa.com.br;9927201665;9917441470
92732074640;João Mendes;joão.mendes74@outlook.com;9889777165;
36584955290;Camila Santos;camila.santos49@yahoo.com;9909188862;9924117549
62787013830;Carlos Silva;carlos.silva91@empresa.com.br;9975189940;
30329278622;Carlos Silva;carlos.silva41@outlook.com;9933483885;9996383933
61787024776;Beatriz Almeida;beatriz.almeida90@yahoo.com;9837239208;9991240507
95770857412;Lucas Rocha;lucas.rocha39@yahoo.com;9975354378;9951970985
58499027083;Camila Santos;camila.santos59@outlook.com;9990516754;9854794237
53574037678;Camila Santos;camila.santos60@yahoo.com;9935968064;9867011119
36213594272;Lucas Rocha;lucas.rocha47@yahoo.com;9817577468;9918617595
62241338400;Beatriz Almeida;beatriz.almeida52@empresa.com.br;9951994550;
18401144280;Lucas Rocha;lucas.rocha90@yahoo.com;9816371234;9969935915
94554932508;Ana Souza;ana.souza84@empresa.com.br;9989645809;9894317385
52959923812;Camila Santos;camila.santos91@yahoo.com;9859153257;9921214263
38788217191;Mariana Lima;mariana.lima72@outlook.com;9972610535;
2959781805;Carlos Silva;carlos.silva91@gmail.com;9867749021;
55614514058;Mariana Lima;mariana.lima75@empresa.com.br;9872378302;
36058204330;Beatriz Almeida;beatriz.almeida26@outlook.com;9857048256;9850372018
86641965082;Carlos Silva;carlos.silva25@empresa.com.br;9927482148;9983138921
35789894879;Camila Santos;camila.santos38@empresa.com.br;9989203566;9904762514
34120545776;Camila Santos;camila.santos54@yahoo.com;9968029607;9814879558
43210490163;Pedro Oliveira;pedro.oliveira62@empresa.com.br;9913477497;
70544162366;Pedro Oliveira;pedro.oliveira98@gmail.com;9906218240;
84120585506;Lucas Rocha;lucas.rocha15@outlook.com;9860006253;9955119083
69589762581;Ana Souza;ana.souza95@yahoo.com;9835249411;
16239712841;Guilherme Martins;guilherme.martins10@empresa.com.br;9851460330;9801665123
3183344963;Lucas Rocha;lucas.rocha31@gmail.com;9976221943;
52951499787;Guilherme Martins;guilherme.martins29@outlook.com;9883126795;
58472721205;Mariana Lima;mariana.lima60@empresa.com.br;9930739351;9831409908
70493938435;Mariana Lima;mariana.lima30@yahoo.com;9955163542;9958070350
38844285517;Carlos Silva;carlos.silva79@yahoo.com;9867595072;
52236015720;Guilherme Martins;guilherme.martins57@empresa.com.br;9806373687;9982165070
42849939412;João Mendes;joão.mendes59@gmail.com;9928400297;9834024502
79056424530;Lucas Rocha;lucas.rocha30@yahoo.com;9987777290;
82682291872;Carlos Silva;carlos.silva50@empresa.com.br;9945148557;9818881526
79057890712;Fernanda Costa;fernanda.costa16@outlook.com;9907615631;
74438012627;João Mendes;joão.mendes32@yahoo.com;9899741157;
68733729352;Lucas Rocha;lucas.rocha48@yahoo.com;9900329481;
2986022960;Carlos Silva;carlos.silva36@outlook.com;9844958008;
17380998226;Beatriz Almeida;beatriz.almeida77@yahoo.com;9919635929;9851363196
62899042211;João Mendes;joão.mendes94@empresa.com.br;9884616325;
34391443139;Beatriz Almeida;beatriz.almeida33@empresa.com.br;9828698314;
69700664287;Carlos Silva;carlos.silva56@gmail.com;9805022606;9835488389
85454622125;Pedro Oliveira;pedro.oliveira21@yahoo.com;9954414650;
76614944266;Ana Souza;ana.souza85@outlook.com;9857602250;9831952083
45579455380;Lucas Rocha;lucas.rocha61@outlook.com;9911427359;
32703923384;Guilherme Martins;guilherme.martins79@outlook.com;9874217177;9808646020
45214282079;Carlos Silva;carlos.silva55@outlook.com;9838343441;
71138762008;Guilherme Martins;guilherme.martins93@gmail.com;9932287622;
81921565918;Ana Souza;ana.souza20@empresa.com.br;9921411819;9950320043
266687008;Carlos Silva;carlos.silva11@yahoo.com;9810974877;9953329345
88774961268;Carlos Silva;carlos.silva81@empresa.com.br;9833201871;9969628208
81006857117;Mariana Lima;mariana.lima73@empresa.com.br;9945421196;
86887141183;Beatriz Almeida;beatriz.almeida48@empresa.com.br;9935229044;
10545616301;Mariana Lima;mariana.lima26@outlook.com;9953704569;
8966992501;Fernanda Costa;fernanda.costa13@empresa.com.br;9999562161;9827158606
4051668932;Guilherme Martins;guilherme.martins32@gmail.com;9831385979;9873817324
89362226863;João Mendes;joão.mendes13@yahoo.com;9839836034;9853372823
41036490033;Carlos Silva;carlos.silva97@outlook.com;9895658531;9914119202
82746235846;Lucas Rocha;lucas.rocha63@gmail.com;9899107350;9803615414
18365946661;Pedro Oliveira;pedro.oliveira14@gmail.com;9803425660;9878501505
23893786686;Pedro Oliveira;pedro.oliveira23@outlook.com;9930898208;
95696094279;Fernanda Costa;fernanda.costa37@yahoo.com;9992539888;9895911329
63744003990;Mariana Lima;mariana.lima88@outlook.com;9807737301;
41470849151;João Mendes;joão.mendes99@gmail.com;9905464936;9949891413
2163710157;Ana Souza;ana.souza61@outlook.com;9935902234;9963820995
25312243;Pedro Oliveira;pedro.oliveira98@gmail.com;9802696050;9824038894
42435850670;Lucas Rocha;lucas.rocha97@outlook.com;9985327850;9826075894
7595807409;Pedro Oliveira;pedro.oliveira50@gmail.com;9963022260;
89321674438;Guilherme Martins;guilherme.martins25@yahoo.com;9951584386;9996212623
89339120450;Camila Santos;camila.santos84@empresa.com.br;9958936313;9905773942
88310320388;Beatriz Almeida;beatriz.almeida77@outlook.com;9891999898;9803374674
16292351807;Beatriz Almeida;beatriz.almeida19@yahoo.com;9887505098;
65501456435;Carlos Silva;carlos.silva42@gmail.com;9939041843;9971677737
9500008688;Fernanda Costa;fernanda.costa91@yahoo.com;9857455847;9859414937
59797892271;Beatriz Almeida;beatriz.almeida84@empresa.com.br;9882385857;
61693088770;Mariana Lima;mariana.lima90@outlook.com;9998137883;9810066564
19113117866;Ana Souza;ana.souza82@empresa.com.br;9933117786;9830113551
40475772865;Beatriz Almeida;beatriz.almeida13@gmail.com;9965340796;9879103004
45261112362;Pedro Oliveira;pedro.oliveira26@gmail.com;9943776073;
57419991820;Camila Santos;camila.santos33@empresa.com.br;9956336178;9837191930
